Product Name,Genes,Component coefficients,Gene products
CPX-1323,YDL126C // YEL037C // YDL190C,TUPLE // YDL126C-MONOMER // 1 // TUPLE // YEL037C-MONOMER // 1 // TUPLE // YDL190C-MONOMER // 1,YDL126C-MONOMER // YEL037C-MONOMER // YDL190C-MONOMER
CPX-1706,YKL008C // YHL003C // YMR298W,TUPLE // YKL008C-MONOMER // 1 // TUPLE // YHL003C-MONOMER // 1 // TUPLE // YMR298W-MONOMER // 2,YKL008C-MONOMER // YHL003C-MONOMER // YMR298W-MONOMER
CPX-1836,YBL014C // YJL025W // YML043C,TUPLE // YBL014C-MONOMER // 1 // TUPLE // YJL025W-MONOMER // 1 // TUPLE // YML043C-MONOMER // 1,YBL014C-MONOMER // YJL025W-MONOMER // YML043C-MONOMER
CPX-385,YIL003W // YGL091C,TUPLE // YIL003W-MONOMER // 1 // TUPLE // YGL091C-MONOMER // 1,YIL003W-MONOMER // YGL091C-MONOMER
CPX-1896,YOR250C // YOL123W // YDR228C // YMR061W // YGL044C,TUPLE // YOR250C-MONOMER // 1 // TUPLE // YOL123W-MONOMER // 1 // TUPLE // YDR228C-MONOMER // 1 // TUPLE // YMR061W-MONOMER // 1 // TUPLE // YGL044C-MONOMER // 1,YOR250C-MONOMER // YOL123W-MONOMER // YDR228C-MONOMER // YMR061W-MONOMER // YGL044C-MONOMER
CPX-1895,YOR250C // YDR228C // YMR061W // YGL044C,TUPLE // YOR250C-MONOMER // 1 // TUPLE // YDR228C-MONOMER // 1 // TUPLE // YMR061W-MONOMER // 1 // TUPLE // YGL044C-MONOMER // 1,YOR250C-MONOMER // YDR228C-MONOMER // YMR061W-MONOMER // YGL044C-MONOMER
CPX-581,YIL035C // YOR061W // YGL019W // YOR039W,TUPLE // YIL035C-MONOMER // 1 // TUPLE // YOR061W-MONOMER // 1 // TUPLE // YGL019W-MONOMER // 1 // TUPLE // YOR039W-MONOMER // 1,YIL035C-MONOMER // YOR061W-MONOMER // YGL019W-MONOMER // YOR039W-MONOMER
CPX-769,YIL035C // YGL019W // YOR039W,TUPLE // YIL035C-MONOMER // 2 // TUPLE // YGL019W-MONOMER // 1 // TUPLE // YOR039W-MONOMER // 1,YIL035C-MONOMER // YGL019W-MONOMER // YOR039W-MONOMER
CPX-770,YOR061W // YGL019W // YOR039W,TUPLE // YOR061W-MONOMER // 2 // TUPLE // YGL019W-MONOMER // 1 // TUPLE // YOR039W-MONOMER // 1,YOR061W-MONOMER // YGL019W-MONOMER // YOR039W-MONOMER
CPX-1853,YDR443C // YPL042C // YNL025C // YCR081W,TUPLE // YDR443C-MONOMER // 1 // TUPLE // YPL042C-MONOMER // 1 // TUPLE // YNL025C-MONOMER // 1 // TUPLE // YCR081W-MONOMER // 1,YDR443C-MONOMER // YPL042C-MONOMER // YNL025C-MONOMER // YCR081W-MONOMER
CPX-1616,YGR167W // YGL206C,TUPLE // YGR167W-MONOMER // 1 // TUPLE // YGL206C-MONOMER // 1,YGR167W-MONOMER // YGL206C-MONOMER
CPX-1701,YBR160W // YPR119W,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YPR119W-MONOMER // 1,YBR160W-MONOMER // YPR119W-MONOMER
CPX-337,YBR160W // YLR210W,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YLR210W-MONOMER // 1,YBR160W-MONOMER // YLR210W-MONOMER
CPX-1702,YBR160W // YPR120C,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YPR120C-MONOMER // 1,YBR160W-MONOMER // YPR120C-MONOMER
CPX-339,YBR160W // YGR109C,TUPLE // YBR160W-MONOMER // 1 // TUPLE // YGR109C-MONOMER // 1,YBR160W-MONOMER // YGR109C-MONOMER
CPX-1693,YGL215W // YPL031C,TUPLE // YGL215W-MONOMER // 1 // TUPLE // YPL031C-MONOMER // 1,YGL215W-MONOMER // YPL031C-MONOMER
CPX-396,YIL083C // YKL088W // YGR277C // YDR196C,TUPLE // YIL083C-MONOMER // 1 // TUPLE // YKL088W-MONOMER // 1 // TUPLE // YGR277C-MONOMER // 1 // TUPLE // YDR196C-MONOMER // 1,YIL083C-MONOMER // YKL088W-MONOMER // YGR277C-MONOMER // YDR196C-MONOMER
CPX-1652,YDL145C // YFR051C // YPL010W // YNL287W // YDR238C // YGL137W // YIL076W,TUPLE // YDL145C-MONOMER // 1 // TUPLE // YFR051C-MONOMER // 1 // TUPLE // YPL010W-MONOMER // 1 // TUPLE // YNL287W-MONOMER // 1 // TUPLE // YDR238C-MONOMER // 1 // TUPLE // YGL137W-MONOMER // 1 // TUPLE // YIL076W-MONOMER // 1,YDL145C-MONOMER // YFR051C-MONOMER // YPL010W-MONOMER // YNL287W-MONOMER // YDR238C-MONOMER // YGL137W-MONOMER // YIL076W-MONOMER
