Product Name,Genes,Component coefficients,Gene products
CPLX3O-77,YMR205C // YGR240C,TUPLE // YMR205C-MONOMER // 4 // TUPLE // YGR240C-MONOMER // 4,YMR205C-MONOMER // YGR240C-MONOMER
CPLX-8646,YKR072C // YOR054C // YKL088W,TUPLE // MONOMER3O-474 // 1 // TUPLE // MONOMER3O-317 // 1 // TUPLE // MONOMER3O-299 // 1,MONOMER3O-474 // MONOMER3O-317 // MONOMER3O-299
CPLX-8753,YMR096W,TUPLE // YMR096W-MONOMER // 6,YMR096W-MONOMER
CPLX-8699,YMR096W // YMR095C,TUPLE // CPLX-8753 // 1 // TUPLE // YMR096W-MONOMER // 6 // TUPLE //YMR095C-MONOMER // 1,YMR096W-MONOMER //YMR095C-MONOMER
CPLX3O-38,G3O-10,TUPLE // MONOMER3O-37 // 1,MONOMER3O-37
CPLX-8695,YBR035C,TUPLE // YBR035C-MONOMER // 2,YBR035C-MONOMER
CPLX-6891,YER023W,TUPLE // YER023W-MONOMER // 4,YER023W-MONOMER
CPLX3O-118,YLR044C,TUPLE // MONOMER3O-117 // 4,MONOMER3O-117
CPLX3O-67,YLR134W,TUPLE // YLR134W-MONOMER // 4,YLR134W-MONOMER
CPLX3O-58,YGR087C,TUPLE // YGR087C-MONOMER // 4,YGR087C-MONOMER
CPLX3O-10512,YER178W // YBR221C,TUPLE // YER178W-MONOMER // 1 // TUPLE // YBR221C-MONOMER // 1,YER178W-MONOMER // YBR221C-MONOMER
CPLX3O-316,YNL071W // YBR221C // YER178W // YGR193C // YFL018C,TUPLE // YNL071W-MONOMER // 1 // TUPLE // CPLX3O-10512 // 1 // TUPLE // YBR221C-MONOMER // 1 // TUPLE // YER178W-MONOMER // 1 // TUPLE // YGR193C-MONOMER // 1 // TUPLE // YFL018C-MONOMER // 1,YNL071W-MONOMER // YBR221C-MONOMER // YER178W-MONOMER // YGR193C-MONOMER // YFL018C-MONOMER
CPLX-7782,YBR256C,TUPLE // MONOMER3O-75 // 3,MONOMER3O-75
CPLX3O-10515,YER070W // YGR180C // YJL026W,TUPLE // CPLX3O-10513 // 1 // TUPLE // YER070W-MONOMER // 2 // TUPLE // CPLX3O-10514 // 1 // TUPLE // YGR180C-MONOMER // 1 // TUPLE // YJL026W-MONOMER // 1,YER070W-MONOMER // YGR180C-MONOMER // YJL026W-MONOMER
CPLX3O-10517,YGR180C // YJL026W // YIL066C // YER070W,TUPLE // CPLX3O-10514 // 1 // TUPLE // YGR180C-MONOMER // 1 // TUPLE // YJL026W-MONOMER // 1 // TUPLE // CPLX3O-10516 // 1 // TUPLE // YIL066C-MONOMER // 1 // TUPLE // YER070W-MONOMER // 1,YGR180C-MONOMER // YJL026W-MONOMER // YIL066C-MONOMER // YER070W-MONOMER
CPLX3O-10513,YER070W,TUPLE // YER070W-MONOMER // 2,YER070W-MONOMER
CPLX3O-10514,YJL026W // YGR180C,TUPLE // YJL026W-MONOMER // 1 // TUPLE // YGR180C-MONOMER // 1,YJL026W-MONOMER // YGR180C-MONOMER
CPLX3O-10520,YOL052C,TUPLE // MONOMER3O-32362 // 1 // TUPLE // MONOMER3O-32361 // 1,MONOMER-20234 // MONOMER3O-32362 // MONOMER3O-32361
CPLX-7009,YDL168W,TUPLE // YDL168W-MONOMER // 1,YDL168W-MONOMER
CPLX-7686,YML008C,TUPLE // MONOMER3O-188 // 4,MONOMER3O-188
CPLX-8571,YMR296C // YDR062W,TUPLE // YMR296C-MONOMER // 1 // TUPLE // YDR062W-MONOMER // 1,YMR296C-MONOMER // YDR062W-MONOMER
CPLX-8673,YBR213W,TUPLE // YBR213W-MONOMER // 2,YBR213W-MONOMER
CPLX3O-272,G3O-270 // YLR100W // YGL001C // YGR060W,TUPLE // MONOMER3O-271 // 1 // TUPLE // YLR100W-MONOMER // 1 // TUPLE // YGL001C-MONOMER // 1 // TUPLE // YGR060W-MONOMER // 1,MONOMER3O-271 // YLR100W-MONOMER // YGL001C-MONOMER // YGR060W-MONOMER
CPLX3O-742,YKL148C // YLL041C // YKL141W // YDR178W,TUPLE // CPLX3O-32 // 1 // TUPLE // YKL148C-MONOMER // 1 // TUPLE // YLL041C-MONOMER // 1 // TUPLE // CPLX3O-34 // 1 // TUPLE // YKL141W-MONOMER // 1 // TUPLE // YDR178W-MONOMER // 1,YKL148C-MONOMER // YLL041C-MONOMER // YKL141W-MONOMER // YDR178W-MONOMER
CPLX3O-32,YLL041C // YKL148C,TUPLE // YLL041C-MONOMER // 1 // TUPLE // YKL148C-MONOMER // 1,YLL041C-MONOMER // YKL148C-MONOMER
CPLX3O-34,YDR178W // YKL141W,TUPLE // YDR178W-MONOMER // 1 // TUPLE // YKL141W-MONOMER // 1,YDR178W-MONOMER // YKL141W-MONOMER
CPLX3O-690,YGR244C // YOR142W,TUPLE // YGR244C-MONOMER // 1 // TUPLE // YOR142W-MONOMER // 1,YGR244C-MONOMER // YOR142W-MONOMER
CPLX-545,YJR010W,TUPLE // YJR010W-MONOMER // 2,YJR010W-MONOMER
Tap-Un,,,
Tar-Un,,,
CPLX-8748,,TUPLE // MONOMER-18225 // 6 // TUPLE // MONOMER-18224 // 6,
CPLX3O-25,YOR143C,TUPLE // YOR143C-MONOMER // 2,YOR143C-MONOMER
CPLX3O-10511,G3O-154,TUPLE // CPLX3O-155 // 4 // TUPLE // MONOMER3O-153 // 8,MONOMER3O-153
CPLX3O-155,G3O-154,TUPLE // MONOMER3O-153 // 2,MONOMER3O-153
CPLX-8241,YML130C,TUPLE // YML130C-MONOMER // 2,YML130C-MONOMER
CPLX-8629,YJR057W,TUPLE // YJR057W-MONOMER // 2,YJR057W-MONOMER
CPLX3O-630,YOR074C,TUPLE // YOR074C-MONOMER // 2,YOR074C-MONOMER
CPLX3O-9180,YPL214C,TUPLE // YPL214C-MONOMER // 8,YPL214C-MONOMER
